ID,Source spreadsheet row,Source agency,Display name,Agency type,State,City used,Latitude,Longitude,Location method,Confidence,Census place,Coordinate source,Included in map
155,163,Imperial County District Attorney (CA),Imperial County District Attorney,Other,California,El Centro,32.786351,-115.560206,County seat / headquarters city,High,El Centro city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
156,164,Inactive Auburn Police Department CA,Inactive Auburn Police Department,Police,California,Auburn,38.895075,-121.076739,Agency-name city match,High,Auburn city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
157,165,Inactive Beaverton Police Department (OR),Inactive Beaverton Police Department,Police,Oregon,Beaverton,45.477998,-122.817037,Agency-name city match,High,Beaverton city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
158,166,Inactive Campbell Police Department (CA),Inactive Campbell Police Department,Police,California,Campbell,37.280244,-121.953296,Agency-name city match,High,Campbell city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
159,167,Inactive Chula Vista Police Department,Inactive Chula Vista Police Department,Police,California,Chula Vista,32.62767,-117.01517,Agency-name city match,High,Chula Vista city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
160,168,Inactive Clackamas County Sheriffs Office (OR),Inactive Clackamas County Sheriffs Office,Sheriff,Oregon,Oregon City,45.341314,-122.592327,County seat / headquarters city,High,Oregon City city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
161,169,Inactive Clayton Police Department CA,Inactive Clayton Police Department,Police,California,Clayton,37.940322,-121.930075,Agency-name city match,High,Clayton city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
162,170,Inactive Coconino County Sheriffs Office (AZ),Inactive Coconino County Sheriffs Office,Sheriff,Arizona,Flagstaff,35.185212,-111.620698,County seat / headquarters city,High,Flagstaff city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
163,171,Inactive Colorado City Marshals Office (AZ),Inactive Colorado City Marshals Office,Other,Arizona,Colorado City,36.970109,-112.985312,Agency-name city match,High,Colorado City town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
164,172,Inactive Coronado Police Department (CA),Inactive Coronado Police Department,Police,California,Coronado,32.657625,-117.156539,Agency-name city match,High,Coronado city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
165,173,Inactive Corvallis Police Department (OR),Inactive Corvallis Police Department,Police,Oregon,Corvallis,44.569949,-123.278285,Agency-name city match,High,Corvallis city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
166,174,Inactive Covina Police Department (CA),Inactive Covina Police Department,Police,California,Covina,34.090475,-117.882143,Agency-name city match,High,Covina city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
167,175,Inactive CSU Fullerton Police Department,Inactive CSU Fullerton Police Department,Other,California,Fullerton,33.885716,-117.928025,Manual headquarters/office city,Medium,Fullerton city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
168,176,Inactive El Cajon Police Department (CA),Inactive El Cajon Police Department,Police,California,El Cajon,32.801673,-116.960468,Agency-name city match,High,El Cajon city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
169,177,Inactive El Monte Police Department (CA),Inactive El Monte Police Department,Police,California,El Monte,34.074633,-118.029136,Agency-name city match,High,El Monte city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
170,178,Inactive Federal Bureau of Investigation,Inactive Federal Bureau of Investigation,Federal,Georgia,Atlanta,33.762909,-84.422675,Manual headquarters/office city,Medium,Atlanta city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
